city,country,lat,lon,timestamp,datetime_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Lyon,France,45.764,4.8357,1785012415,2026-07-25T20:46:55+00:00,1,122.64,0.0,1.43,39.41,0.09,2.76,3.09,1.79
Lyon,France,45.764,4.8357,1785013498,2026-07-25T21:04:58+00:00,1,122.64,0.0,1.43,39.41,0.09,2.76,3.09,1.79
Lyon,France,45.764,4.8357,1785017114,2026-07-25T22:05:14+00:00,1,139.68,0.0,1.46,33.89,0.06,2.81,3.12,2.0
Lyon,France,45.764,4.8357,1785020906,2026-07-25T23:08:26+00:00,1,161.28,0.0,1.38,30.19,0.05,2.93,3.23,2.42
Lyon,France,45.764,4.8357,1785024712,2026-07-26T00:11:52+00:00,1,193.69,0.0,1.27,30.7,0.05,3.15,3.42,3.18
Lyon,France,45.764,4.8357,1785040536,2026-07-26T04:35:36+00:00,2,414.27,0.0,1.22,64.56,0.07,9.32,9.47,5.16
Lyon,France,45.764,4.8357,1785051827,2026-07-26T07:43:47+00:00,2,515.77,0.06,1.54,62.48,0.07,18.34,18.49,1.74
Lyon,France,45.764,4.8357,1785060660,2026-07-26T10:11:00+00:00,2,534.21,0.06,1.28,89.31,0.12,22.85,23.1,2.42
Lyon,France,45.764,4.8357,1785067942,2026-07-26T12:12:22+00:00,3,416.06,0.08,1.2,100.31,0.14,18.46,18.77,2.56
Lyon,France,45.764,4.8357,1785077140,2026-07-26T14:45:40+00:00,2,185.37,0.04,0.61,92.43,0.08,4.08,4.23,1.79
Lyon,France,45.764,4.8357,1785082332,2026-07-26T16:12:12+00:00,2,177.03,0.04,0.64,90.95,0.08,3.91,4.06,1.77
Lyon,France,45.764,4.8357,1785089337,2026-07-26T18:08:57+00:00,2,176.12,0.02,0.7,88.68,0.08,4.01,4.25,1.73
Lyon,France,45.764,4.8357,1785097091,2026-07-26T20:18:11+00:00,2,160.14,0.0,0.82,78.32,0.09,3.94,4.43,2.05
Lyon,France,45.764,4.8357,1785103717,2026-07-26T22:08:37+00:00,2,134.39,0.0,0.83,71.15,0.1,4.03,5.12,2.21
Marseille,France,43.2965,5.3698,1785012417,2026-07-25T20:46:57+00:00,3,186.85,0.0,1.25,111.29,0.61,11.59,19.8,0.86
